,year,city,gradeScore,sellingCondition,marketplacePrice,mileage,Transmission,make,model
12126,2013,Lagos,,foreign,0,43557,Automatic,Mercedes-Benz,ML 350
12127,2019,Ibadan,,foreign,0,0,Automatic,Lexus,ES 350
12128,2013,Lagos,,foreign,7715000,0,Automatic,Mercedes-Benz,C 300
12129,2011,Lagos,,foreign,0,42355,Automatic,Toyota,Corolla
12130,2010,Lagos,,foreign,8485000,0,Automatic,Lexus,RX 350
12131,2006,Lagos,,foreign,2430000,75000,Automatic,Toyota,Corolla
12132,2011,Lagos,,foreign,0,0,Automatic,Lexus,RX 350
12133,2006,Lagos,,foreign,4008000,0,Automatic,Toyota,Highlander
12134,2011,Lagos,,foreign,0,56000,Automatic,Mercedes-Benz,ML 350
12135,2014,Lagos,,foreign,17450000,57000,Automatic,Lexus,GX 460
12136,2007,Lagos,,foreign,4305000,82621,Automatic,Lexus,ES 350
12137,2011,Lagos,,foreign,7385000,10000,Automatic,Toyota,Highlander
12138,2006,Lagos,,foreign,0,0,Automatic,Toyota,Camry
12139,2008,Lagos,,foreign,4085000,82974,Automatic,Lexus,ES 350
12140,2008,Lagos,,foreign,5735000,0,Automatic,Toyota,4-Runner
12141,2010,Lagos,,foreign,3865000,52182,Automatic,Toyota,Camry
12142,2007,Lagos,,foreign,2832500,152,Automatic,Toyota,Solara
12143,2010,Lagos,,foreign,0,0,Automatic,Toyota,Corolla
12144,2008,Lagos,,foreign,0,70000,Automatic,Toyota,RAV 4
12145,2007,Lagos,,foreign,3407500,86885,Automatic,Toyota,Sienna
12146,2016,Lagos,,foreign,0,44,Automatic,Land,Rover Range Rover Evoque
12147,2010,Lagos,,foreign,0,46285,Automatic,Toyota,Corolla
12148,2010,Lagos,,foreign,0,84523,Automatic,Toyota,RAV 4
12149,2012,Lagos,,foreign,4305000,51000,Automatic,Toyota,Corolla
12150,2010,Lagos,,foreign,0,62212,Automatic,Mercedes-Benz,GLK 350
12151,2004,Lagos,,foreign,2890000,81000,Automatic,Lexus,ES 330
12152,2013,Lagos,,foreign,7165000,72000,Automatic,Toyota,RAV 4
12153,2013,Lagos,,foreign,0,0,Automatic,Toyota,Venza
12154,2010,Lagos,,foreign,3350000,0,Automatic,Toyota,Matrix
12155,2019,Lagos,,foreign,0,0,Automatic,Toyota,Camry
12156,2010,Lagos,,,0,10000,Automatic,Toyota,RAV 4
12157,2008,Lagos,,foreign,3535000,0,Automatic,Acura,MDX
12158,2011,Lagos,,foreign,6835000,65340,Automatic,Toyota,Sienna
12159,2013,Lagos,,foreign,0,100,Automatic,Hyundai,Sonata
12160,2006,Lagos,,foreign,3465000,0,Automatic,Toyota,Highlander
12161,2017,Lagos,,foreign,9365000,65243,Automatic,Toyota,RAV 4
12162,2007,Lagos,,foreign,0,0,Automatic,Toyota,4-Runner
12163,2019,Lagos,,foreign,23115000,2750,Automatic,Lexus,RX 350
12164,2010,Lagos,,foreign,7165000,0,Automatic,Toyota,Tacoma
12165,2013,Lagos,,foreign,4635000,523444,Automatic,Honda,Accord
12166,2009,Lagos,,foreign,3535000,50152,Automatic,Toyota,Camry
12167,2013,Lagos,,foreign,7605000,0,Automatic,Toyota,Hiace
12168,2005,Lagos,,foreign,0,65361,Automatic,Toyota,4-Runner
12169,2007,Lagos,,foreign,0,10000,Automatic,Toyota,Coaster
12170,2005,Lagos,,foreign,4525000,82559,Automatic,Toyota,Highlander
12171,2008,Lagos,,foreign,5515000,89900,Automatic,Ford,F 150
12172,2008,Lagos,,foreign,3465000,0,Automatic,Acura,MDX
12173,2005,Lagos,,foreign,0,0,Automatic,Toyota,Corolla
12174,2010,Lagos,,foreign,3865000,0,Automatic,Toyota,Camry
12175,2005,Lagos,,foreign,3235000,132000,Automatic,Lexus,ES 330
12176,2007,Lagos,,foreign,3810000,106336,Automatic,Toyota,Sequoia
12177,2008,Lagos,,foreign,2717500,92000,Automatic,Toyota,Camry
