,Price,city,History,Millage,Ratings,Year,Make,Model,Transmission,Age
10428,,Kaduna,foreign,,3.0,2013.0,Toyota,Corolla,Automatic,7.0
10429,,Lagos,foreign,,3.0,2010.0,Lexus,RX 200,Automatic,10.0
10430,,Lagos,foreign,,3.0,2005.0,Toyota,4-Runner,Automatic,15.0
10431,,Lagos,foreign,,3.0,2018.0,Infiniti,QX80,Automatic,2.0
10432,,Lagos,foreign,,3.0,2005.0,Toyota,Corolla,Automatic,15.0
10433,,Lagos,foreign,,3.0,2008.0,Mercedes-Benz,C 300,Automatic,12.0
10434,,Lagos,foreign,,3.0,2015.0,Toyota,Camry,Automatic,5.0
10435,,Lagos,foreign,,3.0,2009.0,Toyota,Camry,Automatic,11.0
10436,,Lagos,foreign,,3.0,2007.0,Mercedes-Benz,C 230,Automatic,13.0
10437,,Lagos,foreign,,3.0,2010.0,Honda,Crosstour,Automatic,10.0
10438,,Lagos,foreign,,3.0,2007.0,Lexus,GX 470,Automatic,13.0
10439,,Lagos,foreign,,3.0,2008.0,Mercedes-Benz,ML 350,Automatic,12.0
10440,,Osun,foreign,,3.0,2010.0,Toyota,Venza,Automatic,10.0
10441,,Lagos,foreign,,3.0,2005.0,Toyota,RAV 4,Automatic,15.0
10442,,Lagos,foreign,,3.0,2006.0,Toyota,Sienna,Automatic,14.0
10443,,Lagos,foreign,,3.0,2006.0,Lexus,RX 330,Automatic,14.0
10444,,Lagos,foreign,,3.0,2002.0,Acura,MDX,Automatic,18.0
10445,,Lagos,foreign,,3.0,2003.0,Honda,Pilot,Automatic,17.0
10446,,Lagos,foreign,,3.0,2010.0,Toyota,Venza,Automatic,10.0
10447,,Lagos,foreign,,3.0,2012.0,Toyota,Camry,Automatic,8.0
10448,,Lagos,foreign,,3.0,2012.0,Toyota,Camry,Automatic,8.0
10449,,Lagos,foreign,,3.0,2012.0,Mercedes-Benz,ML 350,Automatic,8.0
10450,,Lagos,foreign,,3.0,2005.0,Toyota,Camry,Automatic,15.0
10451,,Lagos,foreign,,3.0,2012.0,Toyota,Corolla,Automatic,8.0
10452,,Lagos,foreign,,3.0,2008.0,Toyota,Sienna,Automatic,12.0
10453,,Lagos,foreign,,3.0,2005.0,Toyota,Matrix,Automatic,15.0
10454,,Lagos,foreign,,3.0,2008.0,Toyota,Camry,Automatic,12.0
