,Price,city,History,Millage,Ratings,Year,Make,Model,Transmission
315,50615000,Lagos,foreign,25969,5.0,2016,Mercedes-Benz,S 550,Automatic
316,4195000,Lagos,foreign,91524,5.0,2007,Lexus,ES 350,Automatic
318,8265000,Lagos,foreign,46953,4.9,2013,Toyota,RAV 4,Automatic
319,2315000,Lagos,foreign,147262,4.8,2004,Toyota,Corolla,Automatic
320,2200000,Lagos,foreign,98333,4.9,2003,Toyota,Corolla,Automatic
321,36315000,Lagos,foreign,59833,4.9,2013,Land,Rover Range Rover,Automatic
322,52815000,Lagos,foreign,36921,5.0,2019,Land,Rover Range Rover,Automatic
323,17615000,Lagos,foreign,19936,4.9,2019,Honda,CR-V,Automatic
324,10245000,Lagos,foreign,62125,4.9,2014,Lexus,ES 350,Automatic
325,9365000,Lagos,foreign,196773,4.9,2013,Ford,F 150,Automatic
326,10795000,Lagos,foreign,75341,4.9,2010,Toyota,4-Runner,Automatic
327,1395000,Lagos,foreign,76319,5.0,2011,Hyundai,Elantra,Automatic
328,20915000,Lagos,foreign,22824,5.0,2020,Toyota,Corolla,Automatic
329,12115000,Lagos,foreign,46676,5.0,2018,Honda,Accord,Automatic
330,5735000,Lagos,foreign,205040,4.7,2007,Mercedes-Benz,GL 450,Automatic
331,3975000,Lagos,foreign,102502,4.7,2012,Toyota,Corolla,Automatic
332,3645000,Lagos,foreign,96386,4.8,2004,Lexus,RX 300,Automatic
333,1855000,Lagos,local,68901,4.9,2016,GAC,Gonow Other,Automatic
334,1280000,Lagos,local,280280,4.2,2003,Toyota,Camry,Automatic
335,26965000,Lagos,foreign,6325,5.0,2019,Lexus,RX 350,Automatic
336,6395000,Lagos,foreign,123885,4.6,2009,Toyota,Venza,Automatic
337,35215000,Lagos,foreign,11465,4.9,2017,Lexus,GX 460,Automatic
338,39615000,Lagos,foreign,29223,5.0,2018,Lexus,GX 460,Automatic
339,18715000,Lagos,foreign,34275,4.9,2018,Toyota,Camry,Automatic
340,52815000,Lagos,foreign,24873,5.0,2018,Lexus,LX 570,Automatic
341,16515000,Lagos,foreign,73923,4.9,2016,Toyota,4-Runner,Automatic
342,18715000,Lagos,foreign,52475,5.0,2017,Mercedes-Benz,E 300,Automatic
343,12115000,Lagos,local,151511,5.0,2008,Toyota,Land Cruiser,Automatic
344,4690000,Lagos,foreign,157852,5.0,2013,Ford,Escape,Automatic
345,1970000,Lagos,foreign,139970,4.8,2004,Toyota,Camry,Automatic
346,1970000,Lagos,foreign,436963,4.9,2004,Toyota,Camry,Automatic
347,3350000,Lagos,foreign,217840,5.0,2011,Toyota,Corolla,Automatic
348,3350000,Lagos,foreign,45353,5.0,2011,Toyota,Corolla,Automatic
349,11015000,Lagos,foreign,34556,5.0,2018,Toyota,Camry,Automatic
350,8815000,Lagos,foreign,47876,4.9,2015,Toyota,Venza,Automatic
351,2545000,Lagos,foreign,255284,4.8,2008,Honda,Accord,Automatic
353,36315000,Lagos,foreign,2028,5.0,2018,Toyota,Land Cruiser,Automatic
354,3350000,Lagos,foreign,113229,4.8,2011,Toyota,Corolla,Automatic
355,11015000,Lagos,foreign,51471,4.9,2015,Chevrolet,Camaro,Automatic
356,16515000,Lagos,foreign,6370,4.8,2018,Ford,Explorer,Automatic
357,3120000,Lagos,foreign,143065,4.9,2010,Toyota,Corolla,Automatic
358,34115000,Lagos,foreign,133796,4.9,2014,Land,Rover Range Rover,Automatic
359,6065000,Lagos,foreign,93266,4.9,2011,Toyota,Sienna,Automatic
360,5515000,Lagos,local,57067,4.9,2014,BMW,528,Automatic
361,1740000,Lagos,local,136968,4.3,2012,Kia,Cerato,Automatic
